airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Jet Airways,2019-03-24,Kolkata,Banglore,08:25:00,04:45:00,20h 20m,1.0,No Info,13759
Multiple Carriers,2019-05-09,Delhi,Cochin,09:45:00,22:30:00,12h 45m,1.0,No Info,8888
Indigo,2019-06-15,Banglore,Delhi,07:10:00,10:05:00,2h 55m,0.0,No Info,4823
Air Asia,2019-06-06,Banglore,Delhi,23:55:00,02:45:00,2h 50m,0.0,No Info,7120
Indigo,2019-05-15,Kolkata,Banglore,21:00:00,02:15:00,5h 15m,1.0,No Info,7228
Jet Airways,2019-05-15,Kolkata,Banglore,18:55:00,08:15:00,13h 20m,1.0,No Info,14388
Multiple Carriers,2019-05-09,Delhi,Cochin,10:00:00,21:00:00,11h,1.0,No Info,13727
Jet Airways,2019-04-21,Banglore,Delhi,18:55:00,22:00:00,3h 5m,0.0,In-flight meal not included,4544
Jet Airways,2019-06-01,Delhi,Cochin,08:00:00,19:00:00,11h,1.0,No Info,14714
Jet Airways,2019-05-09,Kolkata,Banglore,17:00:00,23:35:00,6h 35m,1.0,In-flight meal not included,7341
Jet Airways,2019-06-27,Delhi,Cochin,12:15:00,19:00:00,30h 45m,2.0,No Info,14300
Air Asia,2019-04-27,Delhi,Cochin,16:45:00,22:25:00,5h 40m,1.0,No Info,6451
Spicejet,2019-06-09,Delhi,Cochin,08:45:00,13:15:00,4h 30m,1.0,No Info,5264
Spicejet,2019-05-09,Delhi,Cochin,08:45:00,13:15:00,4h 30m,1.0,No check-in baggage included,4760
Air Asia,2019-06-18,Kolkata,Banglore,22:50:00,01:20:00,2h 30m,0.0,No Info,3807
Air Asia,2019-04-01,Banglore,Delhi,04:55:00,07:45:00,2h 50m,0.0,No Info,4282
Goair,2019-06-27,Kolkata,Banglore,15:20:00,17:55:00,2h 35m,0.0,No Info,3514
Jet Airways,2019-06-06,Delhi,Cochin,07:05:00,04:25:00,21h 20m,1.0,In-flight meal not included,10262
Jet Airways,2019-06-06,Kolkata,Banglore,18:55:00,19:50:00,24h 55m,1.0,In-flight meal not included,10844
Indigo,2019-05-09,Delhi,Cochin,10:35:00,01:30:00,14h 55m,1.0,No Info,8330
Indigo,2019-05-06,Delhi,Cochin,10:35:00,01:30:00,14h 55m,1.0,No Info,6979
Jet Airways,2019-06-27,Delhi,Cochin,23:05:00,12:35:00,13h 30m,2.0,No Info,12819
Multiple Carriers,2019-06-03,Delhi,Cochin,07:10:00,22:30:00,15h 20m,1.0,No Info,7878
Jet Airways,2019-03-21,Delhi,Cochin,17:30:00,18:50:00,25h 20m,1.0,In-flight meal not included,5963
Multiple Carriers,2019-05-18,Delhi,Cochin,06:00:00,19:15:00,13h 15m,1.0,No Info,8476
Air Asia,2019-06-12,Delhi,Cochin,07:55:00,15:45:00,7h 50m,1.0,No Info,6152
Jet Airways,2019-06-12,Kolkata,Banglore,14:05:00,20:45:00,6h 40m,1.0,No Info,13626
Jet Airways,2019-05-27,Delhi,Cochin,16:00:00,12:35:00,20h 35m,1.0,In-flight meal not included,12898
Jet Airways,2019-03-18,Banglore,New Delhi,22:50:00,08:15:00,9h 25m,1.0,In-flight meal not included,11087
Jet Airways,2019-06-01,Delhi,Cochin,10:00:00,19:00:00,9h,1.0,No Info,14714
Indigo,2019-06-03,Banglore,Delhi,23:30:00,02:20:00,2h 50m,0.0,No Info,4591
Jet Airways,2019-06-27,Delhi,Cochin,20:55:00,12:35:00,15h 40m,1.0,In-flight meal not included,10262
Multiple Carriers,2019-06-12,Delhi,Cochin,11:40:00,21:00:00,9h 20m,1.0,No Info,7005
Jet Airways,2019-03-12,Banglore,New Delhi,22:55:00,16:10:00,17h 15m,1.0,No Info,13817
Spicejet,2019-04-21,Kolkata,Banglore,17:10:00,19:40:00,2h 30m,0.0,No check-in baggage included,4807
Multiple Carriers,2019-06-09,Delhi,Cochin,11:35:00,21:00:00,9h 25m,3.0,No Info,15629
Multiple Carriers,2019-05-27,Delhi,Cochin,08:00:00,19:15:00,11h 15m,1.0,In-flight meal not included,11761
Jet Airways,2019-05-01,Kolkata,Banglore,18:55:00,12:00:00,17h 5m,1.0,In-flight meal not included,9663
Indigo,2019-03-09,Banglore,New Delhi,21:20:00,00:15:00,2h 55m,0.0,No Info,6144
Goair,2019-04-01,Kolkata,Banglore,16:40:00,00:15:00,7h 35m,1.0,No Info,5171
Multiple Carriers ,2019-03-21,Delhi,Cochin,06:00:00,13:20:00,7h 20m,1.0,No Info,11269
Multiple Carriers,2019-05-15,Delhi,Cochin,11:25:00,19:00:00,7h 35m,1.0,No Info,9103
Jet Airways,2019-06-09,Kolkata,Banglore,18:55:00,08:15:00,13h 20m,1.0,No Info,14939
Air India,2019-04-18,Banglore,Delhi,21:05:00,23:55:00,2h 50m,0.0,No Info,5228
Jet Airways,2019-06-12,Kolkata,Banglore,20:00:00,09:20:00,13h 20m,1.0,No Info,13044
Air India,2019-03-06,Delhi,Cochin,18:05:00,21:10:00,3h 5m,0.0,No Info,7931
Multiple Carriers,2019-03-21,Delhi,Cochin,08:00:00,15:30:00,7h 30m,1.0,No Info,8307
Jet Airways,2019-05-24,Kolkata,Banglore,18:55:00,16:20:00,21h 25m,1.0,In-flight meal not included,10844
Indigo,2019-04-12,Kolkata,Banglore,20:20:00,22:55:00,2h 35m,0.0,No Info,4488
Air India,2019-05-06,Kolkata,Banglore,20:30:00,20:25:00,23h 55m,1.0,No Info,10203
Multiple Carriers,2019-06-12,Delhi,Cochin,13:00:00,21:00:00,8h,1.0,No Info,7408
Jet Airways,2019-05-21,Mumbai,Hyderabad,19:35:00,21:05:00,1h 30m,0.0,No Info,5678
Jet Airways,2019-06-01,Delhi,Cochin,18:15:00,19:00:00,24h 45m,1.0,No Info,14714
Spicejet,2019-04-01,Kolkata,Banglore,06:55:00,09:30:00,2h 35m,0.0,No Info,3873
Air India,2019-03-03,Delhi,Cochin,16:40:00,19:15:00,26h 35m,2.0,No Info,14221
Jet Airways,2019-04-06,Banglore,Delhi,17:45:00,20:45:00,3h,0.0,No Info,7229
Spicejet,2019-05-15,Banglore,Delhi,21:10:00,00:05:00,2h 55m,0.0,No check-in baggage included,3573
Air India,2019-03-24,Kolkata,Banglore,05:55:00,23:15:00,17h 20m,3.0,No Info,15145
Jet Airways,2019-05-12,Kolkata,Banglore,16:30:00,12:00:00,19h 30m,1.0,In-flight meal not included,10844
Air India,2019-04-21,Delhi,Cochin,20:30:00,08:15:00,11h 45m,1.0,No Info,7258
Jet Airways,2019-06-12,Kolkata,Banglore,21:10:00,09:20:00,12h 10m,1.0,No Info,13044
Indigo,2019-03-12,Mumbai,Hyderabad,06:20:00,07:45:00,1h 25m,0.0,No Info,4049
Jet Airways,2019-06-03,Delhi,Cochin,18:15:00,12:35:00,18h 20m,1.0,In-flight meal not included,10262
Jet Airways,2019-06-12,Kolkata,Banglore,08:25:00,19:50:00,11h 25m,1.0,No Info,13626
Multiple Carriers,2019-06-27,Delhi,Cochin,09:00:00,21:00:00,12h,1.0,No Info,7408
Jet Airways,2019-06-03,Delhi,Cochin,02:15:00,12:35:00,10h 20m,1.0,No Info,14714
Indigo,2019-04-03,Banglore,Delhi,00:30:00,03:25:00,2h 55m,0.0,No Info,3419
Jet Airways,2019-03-09,Delhi,Cochin,20:10:00,04:25:00,8h 15m,2.0,No Info,20904
Air India,2019-03-01,Banglore,New Delhi,17:00:00,23:10:00,6h 10m,1.0,No Info,11628
Jet Airways,2019-03-27,Delhi,Cochin,19:10:00,04:25:00,33h 15m,2.0,In-flight meal not included,6643
Air India,2019-06-15,Delhi,Cochin,09:45:00,09:25:00,23h 40m,2.0,No Info,10975
Indigo,2019-05-27,Banglore,Delhi,01:30:00,04:15:00,2h 45m,0.0,No Info,3419
Air India,2019-03-06,Delhi,Cochin,09:00:00,07:40:00,22h 40m,1.0,No Info,14882
Jet Airways,2019-05-27,Delhi,Cochin,19:10:00,12:35:00,17h 25m,2.0,No Info,15129
Jet Airways,2019-06-12,Kolkata,Banglore,14:05:00,08:15:00,18h 10m,1.0,No Info,13044
Indigo,2019-03-09,Chennai,Kolkata,19:35:00,21:55:00,2h 20m,0.0,No Info,6297
Jet Airways,2019-03-03,Delhi,Cochin,09:00:00,18:50:00,9h 50m,1.0,In-flight meal not included,15400
Air India,2019-06-01,Delhi,Cochin,05:15:00,06:50:00,25h 35m,1.0,No Info,7480
Jet Airways,2019-06-12,Delhi,Cochin,05:30:00,12:35:00,7h 5m,2.0,In-flight meal not included,13344
Spicejet,2019-05-15,Chennai,Kolkata,08:20:00,10:35:00,2h 15m,0.0,No Info,3597
Air India,2019-05-27,Delhi,Cochin,20:15:00,19:15:00,23h,2.0,No Info,13381
Indigo,2019-03-03,Banglore,New Delhi,10:05:00,13:00:00,2h 55m,0.0,No Info,7648
Jet Airways,2019-03-12,Banglore,New Delhi,22:55:00,18:25:00,19h 30m,1.0,In-flight meal not included,11087
Jet Airways,2019-06-06,Delhi,Cochin,14:35:00,04:25:00,13h 50m,2.0,In-flight meal not included,10919
Multiple Carriers,2019-06-01,Delhi,Cochin,07:00:00,21:00:00,14h,1.0,No Info,7408
Jet Airways,2019-06-24,Delhi,Cochin,19:45:00,04:25:00,8h 40m,1.0,In-flight meal not included,10262
Jet Airways,2019-05-21,Delhi,Cochin,16:00:00,12:35:00,20h 35m,1.0,In-flight meal not included,12898
Vistara,2019-03-21,Banglore,New Delhi,11:30:00,14:10:00,2h 40m,0.0,No Info,5403
Jet Airways,2019-03-06,Banglore,New Delhi,05:45:00,23:00:00,17h 15m,1.0,No Info,16736
Air India,2019-04-01,Kolkata,Banglore,10:00:00,05:25:00,19h 25m,2.0,No Info,12639
Spicejet,2019-06-21,Chennai,Kolkata,17:45:00,20:05:00,2h 20m,0.0,No check-in baggage included,3543
Jet Airways,2019-03-09,Delhi,Cochin,05:25:00,04:25:00,23h,2.0,No Info,16914
Spicejet,2019-06-27,Mumbai,Hyderabad,22:45:00,00:15:00,1h 30m,0.0,No check-in baggage included,1965
Vistara ,2019-03-03,Banglore,New Delhi,16:00:00,18:35:00,2h 35m,0.0,No Info,11793
Spicejet,2019-05-27,Mumbai,Hyderabad,22:45:00,00:15:00,1h 30m,0.0,No Info,2017
Jet Airways,2019-05-12,Kolkata,Banglore,14:05:00,20:45:00,6h 40m,1.0,In-flight meal not included,10844
Air India,2019-05-18,Mumbai,Hyderabad,13:55:00,15:25:00,1h 30m,0.0,No Info,3100
Jet Airways,2019-05-21,Delhi,Cochin,09:00:00,12:35:00,27h 35m,1.0,In-flight meal not included,12898
Air India,2019-03-27,Delhi,Cochin,21:30:00,19:15:00,21h 45m,2.0,No Info,8665
Jet Airways,2019-06-03,Delhi,Cochin,10:00:00,04:25:00,18h 25m,1.0,In-flight meal not included,11627
Jet Airways,2019-06-12,Delhi,Cochin,19:30:00,12:35:00,17h 5m,2.0,In-flight meal not included,10368
Jet Airways,2019-05-09,Kolkata,Banglore,16:30:00,23:35:00,7h 5m,1.0,No Info,14781
Indigo,2019-06-24,Mumbai,Hyderabad,06:25:00,07:55:00,1h 30m,0.0,No Info,4049
Indigo,2019-06-12,Banglore,Delhi,08:30:00,11:20:00,2h 50m,0.0,No Info,4823
Air Asia,2019-04-03,Banglore,Delhi,23:55:00,02:45:00,2h 50m,0.0,No Info,4483
Spicejet,2019-03-06,Chennai,Kolkata,17:45:00,20:05:00,2h 20m,0.0,No Info,7298
Jet Airways,2019-06-03,Delhi,Cochin,19:45:00,12:35:00,16h 50m,1.0,In-flight meal not included,10262
Indigo,2019-06-15,Banglore,Delhi,01:30:00,04:15:00,2h 45m,0.0,No Info,3419
Indigo,2019-03-03,Delhi,Cochin,08:25:00,21:00:00,12h 35m,1.0,No Info,14871
Jet Airways,2019-06-06,Kolkata,Banglore,18:55:00,20:45:00,25h 50m,1.0,In-flight meal not included,10844
Multiple Carriers,2019-05-27,Delhi,Cochin,10:35:00,19:15:00,8h 40m,1.0,No Info,8625
Indigo,2019-05-09,Delhi,Cochin,08:35:00,22:30:00,13h 55m,1.0,No Info,6734
Multiple Carriers,2019-03-03,Delhi,Cochin,13:00:00,01:35:00,12h 35m,1.0,No Info,18286
Multiple Carriers,2019-05-21,Delhi,Cochin,07:10:00,18:10:00,11h,1.0,No Info,7038
Jet Airways,2019-06-27,Delhi,Cochin,23:05:00,12:35:00,13h 30m,2.0,In-flight meal not included,11150
Jet Airways,2019-06-06,Kolkata,Banglore,06:30:00,18:15:00,11h 45m,1.0,In-flight meal not included,10844
Jet Airways,2019-05-06,Kolkata,Banglore,21:10:00,09:20:00,12h 10m,1.0,In-flight meal not included,9663
Multiple Carriers,2019-06-24,Delhi,Cochin,11:25:00,19:15:00,7h 50m,1.0,No Info,7155
Jet Airways,2019-03-01,Banglore,New Delhi,08:00:00,07:40:00,23h 40m,1.0,No Info,22270
